,s,l,signal,gold,silver,assets
3845,11,15,9,35,35,91375.74823526508
3846,11,15,10,33,33,96658.07334084943
3847,11,15,11,31,31,105216.41929013838
3848,11,15,12,31,31,121447.84011069915
3849,11,15,13,32,32,114395.92027213892
3850,11,15,14,31,31,107302.862678926
3851,11,15,15,29,29,92195.6094695965
3852,11,15,16,28,28,88765.7277110289
3853,11,15,17,24,24,101034.30506077658
3854,11,15,18,24,24,93830.18224791862
3855,11,15,19,23,23,96368.24063928355
3856,11,15,20,22,22,95705.19035910768
3857,11,15,21,22,22,98271.611085998
3858,11,15,22,23,23,96453.43783291373
3859,11,15,23,25,25,91794.53822365074
3860,11,15,24,25,25,92593.75661111083
3861,11,15,25,23,23,95743.32534465342
3862,11,15,26,22,22,99236.45430099148
3863,11,15,27,22,22,94857.6549835356
3864,11,15,28,22,22,96953.4618340243
3865,11,15,29,22,22,97403.90154676659
3866,11,15,30,21,21,104236.68786444844
3867,11,15,31,20,20,94298.0575904207
3868,11,15,32,20,20,94965.72439315752
3869,11,15,33,20,20,97057.0099423454
3870,11,15,34,21,21,91917.87416335571
3871,11,15,35,21,21,91917.87416335571
3872,11,15,36,21,21,91253.34563470495
3873,11,15,37,21,21,93269.66423087113
3874,11,15,38,20,20,91100.14766619353
3875,11,15,39,20,20,89113.33332060087
3876,12,15,2,48,48,134966.9721908341
3877,12,15,3,46,46,125693.64405207496
3878,12,15,4,42,42,113642.4651726449
3879,12,15,5,39,39,116280.86232968548
3880,12,15,6,37,37,119287.69562098915
3881,12,15,7,36,36,113834.60551192964
3882,12,15,8,35,35,101026.01579532282
3883,12,15,9,34,34,93564.0507255669
3884,12,15,10,31,31,119641.58017553292
3885,12,15,11,31,31,121447.84011069915
3886,12,15,12,30,30,116952.79619017139
3887,12,15,13,31,31,99737.79294962568
3888,12,15,14,29,29,92195.6094695965
3889,12,15,15,26,26,92202.7768097737
3890,12,15,16,24,24,104715.06210198879
3891,12,15,17,22,22,103483.36301002013
3892,12,15,18,21,21,103833.43805504493
3893,12,15,19,21,21,102721.18054986594
3894,12,15,20,21,21,101977.9704166846
3895,12,15,21,24,24,96513.02732547863
3896,12,15,22,25,25,93812.77288927734
3897,12,15,23,25,25,90250.07676141293
3898,12,15,24,22,22,102737.01277031688
3899,12,15,25,22,22,97886.08694078434
3900,12,15,26,21,21,102498.6499678276
3901,12,15,27,21,21,102644.66560353954
3902,12,15,28,20,20,104712.48937447747
3903,12,15,29,20,20,97044.51652513999
3904,12,15,30,20,20,96296.76300494818
3905,12,15,31,20,20,96113.00547882532
3906,12,15,32,21,21,89781.6524070978
3907,12,15,33,21,21,89700.17874947023
3908,12,15,34,20,20,96562.55775565628
3909,12,15,35,20,20,91100.14766619353
3910,12,15,36,20,20,91100.14766619353
